run_dir,summary_file,k,metric_variant,metric_key,total_instances,evaluated_instances,ranking_accuracy_all,ranking_accuracy_any,artifact_rate,bootstrap_reps,all_ci_low,all_ci_high,any_ci_low,any_ci_high
results/llada8b-n10-d8,summary_mc128.jsonl,128,unnormalized_unfiltered,empirical_KL_div_all,543,543,0.6721915285451197,0.8802946593001841,0.1653161448741559,5000,0.6316758747697975,0.7108655616942909,0.852670349907919,0.9079189686924494
results/llada8b-n10-d8,summary_mc128.jsonl,128,unnormalized_cleaned,empirical_KL_div_clean,543,539,0.6530612244897959,0.8849721706864564,0.1653161448741559,5000,0.6122448979591837,0.6920686456400735,0.8571428571428571,0.9109461966604824
results/llada8b-n10-d8,summary_mc128.jsonl,128,normalized_unfiltered,empirical_KL_div_normalized_all,543,543,0.6832412523020258,0.8766114180478821,0.1653161448741559,5000,0.6445672191528545,0.7219152854511971,0.848987108655617,0.9042357274401474
results/llada8b-n10-d8,summary_mc128.jsonl,128,normalized_cleaned,empirical_KL_div_normalized_clean,543,539,0.6660482374768089,0.8682745825602969,0.1653161448741559,5000,0.6252319109461967,0.7031539888682746,0.8404452690166976,0.8961038961038961
results/llada8b-n10-d8,summary_mc16.jsonl,16,unnormalized_unfiltered,empirical_KL_div_all,543,543,0.43278084714548803,0.7624309392265194,0.1653161448741559,5000,0.39226519337016574,0.47513812154696133,0.7255985267034991,0.7955801104972375
results/llada8b-n10-d8,summary_mc16.jsonl,16,unnormalized_cleaned,empirical_KL_div_clean,543,539,0.44155844155844154,0.7588126159554731,0.1653161448741559,5000,0.4007421150278293,0.4842300556586271,0.7235621521335807,0.7959183673469388
results/llada8b-n10-d8,summary_mc16.jsonl,16,normalized_unfiltered,empirical_KL_div_normalized_all,543,543,0.4585635359116022,0.7624309392265194,0.1653161448741559,5000,0.4180478821362799,0.5009208103130756,0.7255985267034991,0.7955801104972375
results/llada8b-n10-d8,summary_mc16.jsonl,16,normalized_cleaned,empirical_KL_div_normalized_clean,543,539,0.43413729128014844,0.7588126159554731,0.1653161448741559,5000,0.3914656771799629,0.47680890538033394,0.7235621521335807,0.7940630797773655
results/llada8b-n10-d8,summary_mc2.jsonl,2,unnormalized_unfiltered,empirical_KL_div_all,543,543,0.3720073664825046,0.7108655616942909,0.1653161448741559,5000,0.33144567219152854,0.4125230202578269,0.6721915285451197,0.7477440147329644
results/llada8b-n10-d8,summary_mc2.jsonl,2,unnormalized_cleaned,empirical_KL_div_clean,543,539,0.3803339517625232,0.7105751391465677,0.1653161448741559,5000,0.3395176252319109,0.4211966604823741,0.6716141001855288,0.7495361781076066
results/llada8b-n10-d8,summary_mc2.jsonl,2,normalized_unfiltered,empirical_KL_div_normalized_all,543,543,0.429097605893186,0.7200736648250461,0.1653161448741559,5000,0.3867403314917127,0.4714548802946593,0.6832412523020258,0.7569060773480663
results/llada8b-n10-d8,summary_mc2.jsonl,2,normalized_cleaned,empirical_KL_div_normalized_clean,543,539,0.39888682745825604,0.7217068645640075,0.1653161448741559,5000,0.3562152133580705,0.44155844155844154,0.6827458256029685,0.7588126159554731
results/llada8b-n10-d8,summary_mc256.jsonl,256,unnormalized_unfiltered,empirical_KL_div_all,543,543,0.714548802946593,0.9208103130755064,0.1653161448741559,5000,0.6758747697974218,0.7532228360957642,0.8968692449355433,0.9429097605893186
results/llada8b-n10-d8,summary_mc256.jsonl,256,unnormalized_cleaned,empirical_KL_div_clean,543,539,0.725417439703154,0.9183673469387755,0.1653161448741559,5000,0.686456400742115,0.7625231910946196,0.8942486085343229,0.9406307977736549
results/llada8b-n10-d8,summary_mc256.jsonl,256,normalized_unfiltered,empirical_KL_div_normalized_all,543,543,0.7090239410681399,0.9097605893186004,0.1653161448741559,5000,0.6703499079189686,0.7458563535911602,0.8858195211786372,0.9337016574585635
results/llada8b-n10-d8,summary_mc256.jsonl,256,normalized_cleaned,empirical_KL_div_normalized_clean,543,539,0.6975881261595547,0.9053803339517625,0.1653161448741559,5000,0.6586270871985158,0.7346938775510204,0.8794063079777366,0.9294990723562152
results/llada8b-n10-d8,summary_mc32.jsonl,32,unnormalized_unfiltered,empirical_KL_div_all,543,543,0.44935543278084716,0.7771639042357275,0.1653161448741559,5000,0.40699815837937386,0.49171270718232046,0.7421731123388582,0.8121546961325967
results/llada8b-n10-d8,summary_mc32.jsonl,32,unnormalized_cleaned,empirical_KL_div_clean,543,539,0.4582560296846011,0.7606679035250464,0.1653161448741559,5000,0.4155844155844156,0.5009276437847866,0.725417439703154,0.7977736549165121
results/llada8b-n10-d8,summary_mc32.jsonl,32,normalized_unfiltered,empirical_KL_div_normalized_all,543,543,0.4732965009208103,0.8121546961325967,0.1653161448741559,5000,0.43278084714548803,0.5156537753222836,0.7808471454880295,0.8434622467771639
results/llada8b-n10-d8,summary_mc32.jsonl,32,normalized_cleaned,empirical_KL_div_normalized_clean,543,539,0.45640074211502785,0.8014842300556586,0.1653161448741559,5000,0.4155844155844156,0.4972170686456401,0.7680890538033395,0.8348794063079777
results/llada8b-n10-d8,summary_mc4.jsonl,4,unnormalized_unfiltered,empirical_KL_div_all,543,543,0.4143646408839779,0.7384898710865562,0.1653161448741559,5000,0.37380294659300184,0.4567219152854512,0.7016574585635359,0.7753222836095764
