run_dir,metric_key,non_alnum_ratio,max_consec_repeat,total_instances,evaluated_instances,ranking_accuracy_all,ranking_accuracy_any,artifact_rate,bootstrap_reps,all_ci_low,all_ci_high,any_ci_low,any_ci_high
results/llada8b-n10-d16,empirical_KL_div_normalized_clean,0.35,12,543,543,0.6758747697974218,0.8784530386740331,0.084402496419071,5000,0.6372007366482505,0.714548802946593,0.8507826887661143,0.9042817679558005
results/llada8b-n10-d16,empirical_KL_div_normalized_clean,0.35,20,543,543,0.6758747697974218,0.8784530386740331,0.084211513539322,5000,0.6372007366482505,0.714548802946593,0.8507826887661143,0.9042817679558005
results/llada8b-n10-d16,empirical_KL_div_normalized_clean,0.45,8,543,543,0.6721915285451197,0.8858195211786372,0.06613464293022303,5000,0.6335174953959485,0.7108655616942909,0.858195211786372,0.9116022099447514
results/llada8b-n10-d16,empirical_KL_div_normalized_clean,0.45,12,543,543,0.6740331491712708,0.8858195211786372,0.06558215674237773,5000,0.6353591160220995,0.712707182320442,0.858195211786372,0.9116022099447514
results/llada8b-n10-d16,empirical_KL_div_normalized_clean,0.45,20,543,543,0.6740331491712708,0.8858195211786372,0.06532978650842369,5000,0.6353591160220995,0.712707182320442,0.858195211786372,0.9116022099447514
results/llada8b-n10-d32,empirical_KL_div_normalized_clean,0.25,8,543,538,0.6412639405204461,0.8364312267657993,0.2312376372689448,5000,0.6003717472118959,0.6802973977695167,0.8048327137546468,0.8680297397769516
results/llada8b-n10-d32,empirical_KL_div_normalized_clean,0.25,12,543,538,0.6412639405204461,0.8364312267657993,0.2312376372689448,5000,0.6003717472118959,0.6802973977695167,0.8048327137546468,0.8680297397769516
results/llada8b-n10-d32,empirical_KL_div_normalized_clean,0.25,20,543,538,0.6412639405204461,0.8364312267657993,0.2312376372689448,5000,0.6003717472118959,0.6802973977695167,0.8048327137546468,0.8680297397769516
results/llada8b-n10-d32,empirical_KL_div_normalized_clean,0.35,8,543,541,0.6561922365988909,0.8317929759704251,0.06380021826614828,5000,0.6155268022181146,0.6950092421441775,0.800369685767098,0.8632162661737524
results/llada8b-n10-d32,empirical_KL_div_normalized_clean,0.35,12,543,541,0.6561922365988909,0.8317929759704251,0.06373883091194324,5000,0.6155268022181146,0.6950092421441775,0.800369685767098,0.8632162661737524
results/llada8b-n10-d32,empirical_KL_div_normalized_clean,0.35,20,543,541,0.6561922365988909,0.8317929759704251,0.06373883091194324,5000,0.6155268022181146,0.6950092421441775,0.800369685767098,0.8632162661737524
results/llada8b-n10-d32,empirical_KL_div_normalized_clean,0.45,8,543,541,0.6561922365988909,0.833641404805915,0.05333196916990655,5000,0.6155268022181146,0.6950092421441775,0.8022181146025879,0.8650646950092421
results/llada8b-n10-d32,empirical_KL_div_normalized_clean,0.45,12,543,541,0.6561922365988909,0.833641404805915,0.05313246026874019,5000,0.6155268022181146,0.6950092421441775,0.8022181146025879,0.8650646950092421
results/llada8b-n10-d32,empirical_KL_div_normalized_clean,0.45,20,543,541,0.6561922365988909,0.833641404805915,0.05313246026874019,5000,0.6155268022181146,0.6950092421441775,0.8022181146025879,0.8650646950092421
results/llada8b-n10-d64,empirical_KL_div_normalized_clean,0.25,8,543,535,0.6074766355140186,0.8037383177570093,0.21458899704756054,5000,0.5663551401869159,0.6485981308411215,0.7700934579439253,0.8355140186915888
results/llada8b-n10-d64,empirical_KL_div_normalized_clean,0.25,12,543,535,0.6074766355140186,0.8037383177570093,0.21458899704756054,5000,0.5663551401869159,0.6485981308411215,0.7700934579439253,0.8355140186915888
results/llada8b-n10-d64,empirical_KL_div_normalized_clean,0.25,20,543,535,0.6074766355140186,0.8037383177570093,0.21458899704756054,5000,0.5663551401869159,0.6485981308411215,0.7700934579439253,0.8355140186915888
results/llada8b-n10-d64,empirical_KL_div_normalized_clean,0.35,8,543,540,0.6166666666666667,0.8055555555555556,0.06510561304529996,5000,0.575925925925926,0.6574074074074074,0.774074074074074,0.837037037037037
results/llada8b-n10-d64,empirical_KL_div_normalized_clean,0.35,12,543,540,0.6166666666666667,0.8055555555555556,0.06510561304529996,5000,0.575925925925926,0.6574074074074074,0.774074074074074,0.837037037037037
results/llada8b-n10-d64,empirical_KL_div_normalized_clean,0.35,20,543,540,0.6166666666666667,0.8055555555555556,0.06510561304529996,5000,0.575925925925926,0.6574074074074074,0.774074074074074,0.837037037037037
results/llada8b-n10-d64,empirical_KL_div_normalized_clean,0.45,8,543,540,0.6185185185185185,0.8074074074074075,0.05878101035789801,5000,0.5777777777777777,0.6592592592592592,0.774074074074074,0.8388888888888889
results/llada8b-n10-d64,empirical_KL_div_normalized_clean,0.45,12,543,540,0.6185185185185185,0.8074074074074075,0.05878101035789801,5000,0.5777777777777777,0.6592592592592592,0.774074074074074,0.8388888888888889
results/llada8b-n10-d64,empirical_KL_div_normalized_clean,0.45,20,543,540,0.6185185185185185,0.8074074074074075,0.05878101035789801,5000,0.5777777777777777,0.6592592592592592,0.774074074074074,0.8388888888888889
results/llada8b-n10-d128,empirical_KL_div_normalized_clean,0.25,8,543,534,0.5786516853932584,0.8014981273408239,0.21406623013437007,5000,0.5355805243445693,0.6217228464419475,0.7677902621722846,0.8352059925093633
results/llada8b-n10-d128,empirical_KL_div_normalized_clean,0.25,12,543,534,0.5786516853932584,0.8014981273408239,0.21406623013437007,5000,0.5355805243445693,0.6217228464419475,0.7677902621722846,0.8352059925093633
results/llada8b-n10-d128,empirical_KL_div_normalized_clean,0.25,20,543,534,0.5786516853932584,0.8014981273408239,0.21406623013437007,5000,0.5355805243445693,0.6217228464419475,0.7677902621722846,0.8352059925093633
results/llada8b-n10-d128,empirical_KL_div_normalized_clean,0.35,8,543,541,0.5914972273567468,0.8022181146025879,0.06435611486256053,5000,0.5489833641404805,0.6321626617375231,0.7689463955637708,0.8354898336414048
results/llada8b-n10-d128,empirical_KL_div_normalized_clean,0.35,12,543,541,0.5914972273567468,0.8022181146025879,0.06435611486256053,5000,0.5489833641404805,0.6321626617375231,0.7689463955637708,0.8354898336414048
results/llada8b-n10-d128,empirical_KL_div_normalized_clean,0.35,20,543,541,0.5914972273567468,0.8022181146025879,0.06435611486256053,5000,0.5489833641404805,0.6321626617375231,0.7689463955637708,0.8354898336414048
results/llada8b-n10-d128,empirical_KL_div_normalized_clean,0.45,8,543,541,0.5914972273567468,0.8077634011090573,0.05808948912079666,5000,0.5489833641404805,0.6321626617375231,0.7744916820702403,0.8391866913123844
results/llada8b-n10-d128,empirical_KL_div_normalized_clean,0.45,12,543,541,0.5914972273567468,0.8077634011090573,0.05802810176659163,5000,0.5489833641404805,0.6321626617375231,0.7744916820702403,0.8391866913123844
results/llada8b-n10-d128,empirical_KL_div_normalized_clean,0.45,20,543,541,0.5914972273567468,0.8077634011090573,0.05802810176659163,5000,0.5489833641404805,0.6321626617375231,0.7744916820702403,0.8391866913123844
