model,diffusion_steps,mc,section,total_instances,total_evaluated,artifact_rate,rank_acc_all,rank_acc_any,mean_kl_valid,mean_kl_distractor
llada8b-n10-d64,64,256,Normalized_Unfiltered,543.0,543.0,0.06442816442816443,0.6169429097605893,0.8029465930018416,0.1726307480718534,0.35957259707670386
llada8b-n10-d128,128,256,Normalized_Unfiltered,543.0,543.0,0.0641025641025641,0.5930018416206262,0.8103130755064457,0.1769814009226159,0.3608568627771394
llada8b-n10-d2,2,2,Unnormalized_Cleaned,543.0,527.0,0.20543345543345543,0.4060721062618596,0.7362428842504743,0.15241346382816554,2.396231244578495
llada8b-n10-d4,4,2,Unnormalized_Cleaned,543.0,491.0,0.41178266178266176,0.4093686354378819,0.7026476578411406,0.3059480402703581,2.43521373086729
llada8b-n10-d8,8,2,Unnormalized_Cleaned,543.0,539.0,0.16544566544566544,0.3803339517625232,0.7105751391465677,1.3505894227880337,2.7975647189784825
llada8b-n10-d16,16,2,Unnormalized_Cleaned,543.0,543.0,0.0843101343101343,0.3683241252302026,0.7274401473296501,1.4378332550934634,3.7299764229824532
llada8b-n10-d32,32,2,Unnormalized_Cleaned,543.0,541.0,0.06367521367521367,0.4177449168207024,0.744916820702403,2.7226499665406036,6.064046015370008
llada8b-n10-d64,64,2,Unnormalized_Cleaned,543.0,540.0,0.06442816442816443,0.4148148148148148,0.7055555555555556,3.185036431680338,5.161877364431883
llada8b-n10-d128,128,2,Unnormalized_Cleaned,543.0,541.0,0.0641025641025641,0.36414048059149723,0.6987060998151571,3.355633661664987,5.0768026008882075
llada8b-n10-d2,2,4,Unnormalized_Cleaned,543.0,527.0,0.20543345543345543,0.4060721062618596,0.7798861480075902,0.2980566406100162,2.4498601000463847
llada8b-n10-d4,4,4,Unnormalized_Cleaned,543.0,491.0,0.41178266178266176,0.40122199592668023,0.7189409368635438,0.8788191071286241,2.825942044203702
llada8b-n10-d8,8,4,Unnormalized_Cleaned,543.0,539.0,0.16544566544566544,0.3821892393320965,0.7272727272727273,1.3086865380318988,2.721137767276217
llada8b-n10-d16,16,4,Unnormalized_Cleaned,543.0,543.0,0.0843101343101343,0.37937384898710863,0.7292817679558011,1.4386492763520131,3.8017870285165345
llada8b-n10-d32,32,4,Unnormalized_Cleaned,543.0,541.0,0.06367521367521367,0.4195933456561922,0.7541589648798521,2.54358461901166,6.017525776606113
llada8b-n10-d64,64,4,Unnormalized_Cleaned,543.0,540.0,0.06442816442816443,0.3925925925925926,0.6925925925925925,3.3474364982794724,5.02818120973275
llada8b-n10-d128,128,4,Unnormalized_Cleaned,543.0,541.0,0.0641025641025641,0.38632162661737524,0.7079482439926063,3.2178662800081947,4.984656029411443
llada8b-n10-d2,2,8,Unnormalized_Cleaned,543.0,527.0,0.20543345543345543,0.42314990512333966,0.7647058823529411,0.34786604277694577,2.4371986169378856
llada8b-n10-d4,4,8,Unnormalized_Cleaned,543.0,491.0,0.41178266178266176,0.3971486761710794,0.7230142566191446,0.814257958299118,2.468470245334413
llada8b-n10-d8,8,8,Unnormalized_Cleaned,543.0,539.0,0.16544566544566544,0.4025974025974026,0.7476808905380334,1.0613837173533271,2.9519537894029915
llada8b-n10-d16,16,8,Unnormalized_Cleaned,543.0,543.0,0.0843101343101343,0.3867403314917127,0.7569060773480663,1.4660917750082723,4.0250807595526235
llada8b-n10-d32,32,8,Unnormalized_Cleaned,543.0,541.0,0.06367521367521367,0.4343807763401109,0.7541589648798521,2.3682706406007585,6.2699386482654464
llada8b-n10-d64,64,8,Unnormalized_Cleaned,543.0,540.0,0.06442816442816443,0.37592592592592594,0.7,3.4593083098578665,4.9679702433674295
